GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E2E Tests Coverage Report,com.pkb.action.diary,UIComposeAppointmentRequestDto,8,72,0,0,4,30,2,21,2,21
E2E Tests Coverage Report,com.pkb.action.diary,UIConfirmAppointmentRequestDto,0,17,0,0,0,7,0,5,0,5
E2E Tests Coverage Report,com.pkb.action.diary,AbstractAppointmentRequestAction,0,39,0,2,0,12,0,9,0,8
E2E Tests Coverage Report,com.pkb.action.diary,AppointmentsService.PartialAppointmentDto,2,6,0,0,1,3,1,3,1,3
E2E Tests Coverage Report,com.pkb.action.diary,CancelEmisAppointmentAction,3,234,4,10,1,56,4,26,0,23
E2E Tests Coverage Report,com.pkb.action.diary,ListAppointmentDto,0,83,0,0,0,36,0,23,0,23
E2E Tests Coverage Report,com.pkb.consent.entity,PatientOptOutDocumentation,0,58,0,0,0,21,0,12,0,12
E2E Tests Coverage Report,com.pkb.consent.entity,PatientConsentReason,6,238,0,10,1,70,1,45,1,40
E2E Tests Coverage Report,com.pkb.consent.entity,PatientConsent.Builder,45,125,0,0,16,39,7,9,7,9
E2E Tests Coverage Report,com.pkb.consent.entity,PatientOptOut,34,30,0,0,12,12,5,7,5,7
E2E Tests Coverage Report,com.pkb.consent.entity,ConsentExpiryDecision,63,3,0,0,27,1,18,1,18,1
E2E Tests Coverage Report,com.pkb.consent.entity,PrivacyFlags,89,72,5,0,28,22,6,12,2,12
E2E Tests Coverage Report,com.pkb.consent.entity,BreakTheGlassLog,31,34,0,0,9,15,3,10,3,10
E2E Tests Coverage Report,com.pkb.consent.entity,PatientConsent,246,482,51,56,57,128,46,51,8,34
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,PhPlanPersister,11,72,2,4,2,16,2,5,0,4
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,EncounterPersister.MessageDateComparator,6,6,0,0,1,1,1,1,1,1
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,DocumentPersister,72,105,6,3,13,25,6,4,1,4
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,DiagnosisPersister,5,65,1,1,0,10,1,3,0,3
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,MeasurementPersister,49,127,2,10,7,24,3,12,1,8
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,MedicationPersister,5,65,1,1,0,10,1,3,0,3
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,AbstractUploadedDataPersister,0,9,0,0,0,2,0,2,0,2
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,EncounterPersister,158,912,34,58,36,217,27,57,3,30
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,CalendarPersister,25,184,1,10,4,48,1,19,0,12
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,AllergyPersister,5,65,1,1,0,10,1,3,0,3
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,RadiologyPersister,113,109,11,9,32,25,8,6,1,3
E2E Tests Coverage Report,com.pkb.service.dataupload.processor.persister,TestResultPersister,20,134,1,5,3,23,1,9,0,7
E2E Tests Coverage Report,com.pkb.fhirwall.service.resource,ResourceEnricherManager,6,66,2,4,1,15,2,7,0,6
E2E Tests Coverage Report,com.pkb.fhirwall.service.resource,BaseResourceEnricher,0,6,0,0,0,3,0,1,0,1
E2E Tests Coverage Report,com.pkb.fhirwall.service.resource,AppointmentResourceEnricher,84,481,24,16,11,120,21,26,4,23
E2E Tests Coverage Report,com.pkb.techsupport.action,TechSupportLandingPageAction,5,0,0,0,2,0,2,0,2,0
E2E Tests Coverage Report,com.pkb.util.struts,ExtendedLocaleProviderFactory,0,25,0,0,0,6,0,4,0,4
E2E Tests Coverage Report,com.pkb.util.struts,JavaOptionalTypeConverter,18,135,3,3,2,16,4,12,1,12
E2E Tests Coverage Report,com.pkb.util.struts,ContextUserAwareRedirectActionResult,0,19,0,2,0,6,0,3,0,2
E2E Tests Coverage Report,com.pkb.util.struts,UUIDTypeConverter,17,37,1,4,3,7,1,7,0,5
E2E Tests Coverage Report,com.pkb.util.struts,JavaLongTypeConverter,2,27,3,5,0,5,3,4,0,3
E2E Tests Coverage Report,com.pkb.util.struts,ExtendedLocaleProviderFactory.ExtendedLocaleProvider,0,40,0,8,0,11,0,8,0,4
E2E Tests Coverage Report,com.pkb.util.struts,CachingTextProviderSupport,102,164,21,21,13,34,21,19,6,13
E2E Tests Coverage Report,com.pkb.util.struts,CachingTextProviderFactory,0,27,0,0,0,7,0,3,0,3
E2E Tests Coverage Report,com.pkb.util.struts,EmailTypeConverter,2,40,4,6,1,8,4,4,0,3
E2E Tests Coverage Report,com.pkb.api.internal.validator,PersonSearchByEmailRequestValidator,47,3,4,0,11,1,5,1,3,1
E2E Tests Coverage Report,com.pkb.api.internal.validator,AbstractInternalRequestValidator,4,3,0,0,1,1,1,1,1,1
E2E Tests Coverage Report,com.pkb.fhir.common.enums,TransformedEhrDataStatus,0,44,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.fhir.common.enums,DecryptedEhrDataStatus,0,34,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.fhir.analysis.core.threading,EhrDataMigrationBootstrapper,21,222,5,15,6,51,5,17,0,12
E2E Tests Coverage Report,com.pkb.fhir.analysis.core.threading,EhrDataProcessingWorkerFactory,0,24,0,0,0,6,0,2,0,2
E2E Tests Coverage Report,com.pkb.fhir.analysis.core.threading,EhrDataProcessorWorker,89,257,16,14,11,49,10,14,0,9
E2E Tests Coverage Report,com.pkb.fhir.analysis.core.threading,ExecutorServiceFactory,0,6,0,0,0,2,0,2,0,2
E2E Tests Coverage Report,com.pkb.code.entity,CodeSystemName,0,84,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.code.entity,Code,41,9,0,0,18,4,9,3,9,3
E2E Tests Coverage Report,com.pkb.app.bean.strategies.accountkey,KMSAccountKeyLoadingStrategy,124,565,1,7,13,92,12,38,11,35
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisAppointment,25,0,0,0,6,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisAppointmentSessionWithSlots,13,0,0,0,4,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisClinician,23,0,0,0,6,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisAppointmentSession,18,0,0,0,5,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisJacksonFixes,7,105,2,4,3,29,3,6,1,5
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisLocation,10,0,0,0,1,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.integrations.emis.model,EmisAppointmentSlot,18,0,0,0,5,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.user.bean,DefaultAccountIdIsNullException,4,0,0,0,2,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.user.bean,PersonAndAccountHolder,15,0,0,0,6,0,3,0,3,0
E2E Tests Coverage Report,com.pkb.user.bean,PKBPersonBean,744,2731,85,177,128,552,93,181,22,121
E2E Tests Coverage Report,com.pkb.user.bean,PKBPersonBean.PersonAndAccountHolderTransformer,14,0,0,0,2,0,2,0,2,0
E2E Tests Coverage Report,com.pkb.domain.communication,CommunicationService,0,44,0,2,0,11,0,4,0,3
E2E Tests Coverage Report,com.pkb.service.personallibrary,PersonalLibraryManager,35,146,1,1,5,29,1,11,0,11
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,FileProcessor.ProcessedRowStatus,0,54,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,NoopEmisProcessorAborter,30,0,0,0,10,0,10,0,10,0
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,FileProcessor,0,156,0,0,0,14,0,7,0,7
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,EmisRequestContextProvider,17,89,7,9,4,16,8,9,2,7
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,FileProcessor.ProcessorType,0,34,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,TestEmisProcessorAborter,12,171,1,13,4,47,2,17,1,11
E2E Tests Coverage Report,com.pkb.service.dataupload.emis.esv2.batch,BatchDataProcessor,7,273,2,4,2,45,2,15,0,14
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.FieldHandlerFactory,9,134,1,9,3,28,2,21,1,17
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.FieldHandler,0,14,1,5,0,1,1,3,0,1
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.ServiceAccess,7,48,0,0,0,8,1,4,1,4
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction,193,1030,11,39,61,194,39,42,28,28
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.CategoryHandler,0,126,0,2,0,24,0,13,0,12
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.UploadedDataCategoryHandler,2,77,1,3,0,17,1,5,0,4
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.ProcessingStage,0,24,0,0,0,3,0,1,0,1
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.ProcessingState,0,24,0,0,0,3,0,1,0,1
E2E Tests Coverage Report,com.pkb.action.devices,ManageDevicesAction.FieldHandlerResult,0,32,0,4,0,9,0,5,0,3
E2E Tests Coverage Report,com.pkb.encounter.entity,FailedMessageDTO,31,3,0,0,13,1,9,1,9,1
E2E Tests Coverage Report,com.pkb.encounter.entity,LocationTypeMapperImpl,43,7,12,1,23,3,11,2,0,2
E2E Tests Coverage Report,com.pkb.encounter.entity,Message.SortField,34,0,0,0,2,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.encounter.entity,InlineContentTypes,0,32,0,2,0,6,0,7,0,6
E2E Tests Coverage Report,com.pkb.encounter.entity,GeographicLocation,0,31,0,0,0,13,0,9,0,9
E2E Tests Coverage Report,com.pkb.encounter.entity,GeographicLocationMapperImpl,0,48,0,2,0,10,0,3,0,2
E2E Tests Coverage Report,com.pkb.encounter.entity,GeographicLocationMapper,0,6,0,0,0,2,0,2,0,2
E2E Tests Coverage Report,com.pkb.encounter.entity,EncounterEvent,0,14,0,0,0,7,0,5,0,5
E2E Tests Coverage Report,com.pkb.encounter.entity,EncounterToAppointmentLink,16,22,0,0,6,10,5,6,5,6
E2E Tests Coverage Report,com.pkb.encounter.entity,Message,179,579,14,28,39,203,21,113,8,105
E2E Tests Coverage Report,com.pkb.encounter.entity,InboxConversationDTO,71,101,0,0,13,43,1,29,1,29
E2E Tests Coverage Report,com.pkb.encounter.entity,ApiConversationDTO,0,38,0,0,0,16,0,11,0,11
E2E Tests Coverage Report,com.pkb.encounter.entity,Encounter,145,205,12,6,41,77,15,53,8,51
E2E Tests Coverage Report,com.pkb.encounter.entity,LocationType,21,148,0,0,9,16,6,2,6,2
E2E Tests Coverage Report,com.pkb.encounter.entity,Hospitalization,24,0,0,0,10,0,7,0,7,0
E2E Tests Coverage Report,com.pkb.encounter.entity,PKBInvitation,8,113,0,0,1,42,1,30,1,30
E2E Tests Coverage Report,com.pkb.encounter.entity,Message.DocumentType,1,332,2,4,0,39,2,12,0,11
E2E Tests Coverage Report,com.pkb.encounter.entity,MessageMigrator,0,53,0,0,0,5,0,3,0,3
E2E Tests Coverage Report,com.pkb.encounter.entity,Encounter.EncounterStatus,0,64,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.encounter.entity,PKBInvitationDetail,0,86,0,0,0,33,0,20,0,20
E2E Tests Coverage Report,com.pkb.encounter.entity,Message.MessageType,0,213,0,0,0,30,0,2,0,2
E2E Tests Coverage Report,com.pkb.encounter.entity,LocationTypeComparison,104,0,0,0,11,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.encounter.entity,MessageSenderDTO,2,47,2,2,0,17,2,12,0,12
E2E Tests Coverage Report,com.pkb.crypto.decryptionhelper,DecryptionHelperAppMenuData,29,98,0,0,6,29,3,7,3,7
E2E Tests Coverage Report,com.pkb.domain.appointment,EmisAppointmentService,74,141,2,0,9,26,8,10,7,10
E2E Tests Coverage Report,com.pkb.domain.appointment,AppointmentMessagingSettingsService,0,37,0,0,0,7,0,4,0,4
E2E Tests Coverage Report,com.pkb.domain.appointment,AppointmentService,0,44,0,2,0,11,0,4,0,3
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,NhsNumberProvider,23,106,4,4,6,15,3,3,0,2
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,OdsCodeProvider.findOdsCodeByAppointmentResource.sourceOrgUuid.new Function1() {...},3,14,2,2,0,1,2,1,0,1
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,OdsCodeProvider,7,108,0,2,0,12,1,8,1,7
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,OdsCodeProvider.findOdsCodeByAppointmentResource.new Function1() {...},3,33,2,4,0,1,2,2,0,1
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,OdsCodeProvider.findOdsCodeByAppointmentResource.new Function1() {...},2,6,1,1,0,1,1,1,0,1
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,OdsCodeProvider.findOdsCodeByAppointmentResource.new Function1() {...},0,11,0,0,0,1,0,1,0,1
E2E Tests Coverage Report,com.pkb.backgroundtasks.wayfinder.recordsservice.provider,OdsCodeProvider.findOdsCodeByAppointmentResource.new Function1() {...},0,3,0,0,0,1,0,1,0,1
E2E Tests Coverage Report,com.pkb.aggregator.camel.routing.bulk,RequestReloadPatientRecordRouteBuilder.Companion,4,0,0,0,2,0,2,0,2,0
E2E Tests Coverage Report,com.pkb.aggregator.camel.routing.bulk,RequestReloadOrganizationRouteBuilder,10,137,0,0,0,19,2,2,2,2
E2E Tests Coverage Report,com.pkb.aggregator.camel.routing.bulk,RequestReloadMedicationRouteBuilder,10,133,0,0,0,17,2,2,2,2
E2E Tests Coverage Report,com.pkb.aggregator.camel.routing.bulk,RequestReloadPatientRecordRouteBuilder,10,354,0,0,0,79,2,5,2,5
E2E Tests Coverage Report,com.pkb.aggregator.camel.routing.bulk,RequestReloadPatientRecordRouteBuilder.PaginatedResourceSpec,0,46,0,0,0,7,0,7,0,7
E2E Tests Coverage Report,com.pkb.hibernate,PostgreSQLPkbDialect,0,25,0,0,0,5,0,1,0,1
E2E Tests Coverage Report,com.pkb.service.privacy,PrivacyFlagsConverter,0,55,0,0,0,18,0,3,0,3
E2E Tests Coverage Report,com.pkb.service.privacy,MigrationService,11,13,0,0,2,5,1,2,1,2
E2E Tests Coverage Report,com.pkb.service.privacy,PrivacyService,21,213,2,11,3,38,4,14,2,9
E2E Tests Coverage Report,com.pkb.service.privacy,PrivacyService.Notify,0,24,0,0,0,3,0,1,0,1
E2E Tests Coverage Report,com.pkb.api.fhir.converter,ReferenceParamToUUIDConverter,0,115,0,10,0,22,0,10,0,5
E2E Tests Coverage Report,com.pkb.api.fhir.converter,UUIDConverter,5,30,0,0,1,8,1,2,1,2
E2E Tests Coverage Report,com.pkb.api.fhir.converter,IdentifierConverter,0,20,0,6,0,5,0,5,0,2
E2E Tests Coverage Report,com.pkb.api.fhir.converter,IncludeConverter,0,47,0,0,0,7,0,3,0,3
E2E Tests Coverage Report,com.pkb.api.fhir.converter,ReferenceToTypeAndUUIDConverter,12,137,2,10,2,23,2,11,0,7
E2E Tests Coverage Report,com.pkb.api.fhir.converter,TokenParamToDiagnosticReportCategoryConverter,32,80,6,8,3,19,6,9,1,7
E2E Tests Coverage Report,com.pkb.api.fhir.converter,ReverseIncludeConverter,6,16,1,1,1,4,1,3,0,3
E2E Tests Coverage Report,com.pkb.api.fhir.converter,DateRangeParamToDateRangeRestrictionConverter,34,276,4,20,2,65,6,29,2,21
E2E Tests Coverage Report,com.pkb.api.fhir.converter,UrnUUIDConverter,10,70,0,4,2,16,2,5,2,3
E2E Tests Coverage Report,com.pkb.api.fhir.converter,BaseIncludeConverter,0,16,0,0,0,6,0,2,0,2
E2E Tests Coverage Report,com.pkb.api.fhir.converter,TokenParamToDocumentStatusConverter,26,106,4,10,1,18,3,12,0,8
E2E Tests Coverage Report,com.pkb.api.fhir.converter,DateParamToDateRestrictionConverter,57,206,2,18,10,41,4,20,2,12
E2E Tests Coverage Report,com.pkb.api.fhir.converter,TokenParamToObservationCategoryConverter,21,93,6,8,3,19,5,10,0,8
E2E Tests Coverage Report,com.pkb.domain.repository.util,TargetOwnerDataHolder,0,49,0,0,0,20,0,12,0,12
E2E Tests Coverage Report,com.pkb.domain.repository.util,BoundedDateRangeRestrictions,33,89,2,4,3,23,3,7,1,5
E2E Tests Coverage Report,com.pkb.domain.repository.util,AccessFilters,45,94,0,0,14,38,4,5,4,5
E2E Tests Coverage Report,com.pkb.questionnaireservice.util,RequestIdUtils,0,6,0,0,0,2,0,2,0,2
E2E Tests Coverage Report,com.pkb.phoenix.wiring,WebConfig,3,26,1,1,0,4,1,4,0,4
E2E Tests Coverage Report,com.pkb.phoenix.wiring,KeycloakSecurityConfig,0,206,0,0,0,25,0,5,0,5
E2E Tests Coverage Report,com.pkb.phoenix.wiring,PnxDbConfig,0,3,0,0,0,1,0,1,0,1
E2E Tests Coverage Report,com.pkb.phoenix.wiring,RepositoryConfig.ExceptionTranslator,23,3,2,0,5,1,2,1,1,1
E2E Tests Coverage Report,com.pkb.phoenix.wiring,Role,0,37,0,0,0,6,0,3,0,3
E2E Tests Coverage Report,com.pkb.phoenix.wiring,MetaArgumentResolver.MetaArgumentResolverConfigurer,0,25,0,0,0,7,0,2,0,2
E2E Tests Coverage Report,com.pkb.phoenix.wiring,DbConfig,12,24,0,0,2,10,1,7,1,7
E2E Tests Coverage Report,com.pkb.phoenix.wiring,RepositoryConfig,0,83,0,0,0,18,0,10,0,10
E2E Tests Coverage Report,com.pkb.phoenix.wiring,BindingControllerAdvice,0,6,0,0,0,3,0,2,0,2
E2E Tests Coverage Report,com.pkb.phoenix.wiring,MetaArgumentResolver,8,150,2,4,1,30,2,9,0,8
E2E Tests Coverage Report,com.pkb.sciStore.util,SciStoreConstants,3,15,0,0,1,1,1,1,1,1
E2E Tests Coverage Report,com.pkb.messagehasher.configuration,HashConfig,94,0,0,0,40,0,27,0,27,0
E2E Tests Coverage Report,com.pkb.messagehasher.configuration,AppInjectionConfig.new EHRDataDeserializer() {...},6,0,0,0,1,0,1,0,1,0
E2E Tests Coverage Report,com.pkb.messagehasher.configuration,AppInjectionConfig.new KmsClientConfig() {...},15,0,0,0,4,0,4,0,4,0
E2E Tests Coverage Report,com.pkb.messagehasher.configuration,AppInjectionConfig,46,0,0,0,11,0,8,0,8,0
E2E Tests Coverage Report,com.pkb.messagehasher.configuration,DataSourceConfig,26,0,0,0,6,0,2,0,2,0
E2E Tests Coverage Report,com.pkb.messagehasher.configuration,KmsConfig,10,0,0,0,4,0,3,0,3,0
E2E Tests Coverage Report,com.pkb.integration.coredevices,CoreDevicesClient,166,779,19,33,26,179,22,44,8,32
E2E Tests Coverage Report,com.pkb.integration.coredevices,CoreDeviceDataRecord,3,42,0,0,1,18,1,12,1,12
E2E Tests Coverage Report,com.pkb.integration.coredevices,CoreDevice,10,28,0,0,4,12,3,8,3,8
E2E Tests Coverage Report,com.pkb.integration.coredevices,Notification,4,22,2,2,2,5,2,1,0,1
E2E Tests Coverage Report,com.pkb.integration.coredevices,CoreDeviceDataBatch,8,38,1,1,2,16,2,10,1,10
E2E Tests Coverage Report,com.pkb.integration.coredevices,CoreDeviceDataPoint,52,0,0,0,22,0,15,0,15,0
E2E Tests Coverage Report,com.pkb.filesanitizer,FileSanitizer,16,219,8,17,6,45,7,19,0,13
E2E Tests Coverage Report,com.pkb.filesanitizer,PDFSanitizationRule,21,104,9,11,6,20,7,11,0,8
E2E Tests Coverage Report,com.pkb.filesanitizer,Result,0,34,0,0,0,2,0,1,0,1
E2E Tests Coverage Report,com.pkb.fhirwall.config,KeycloakConfig,0,31,0,0,0,13,0,9,0,9
